Alltrain_df3	 LR 	0.6933701657458563	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.7016574585635359	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.6837016574585635	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6823204419889503	 w=None	 C=1.0
Alltop6	 LR 	0.7002762430939227	 w=None	 C=1.0
Alltop6	 SVM 	0.6947513812154696	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6892265193370166	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.6837016574585635	 w=None	 C=1.0
Alltop10	 LR 	0.7016574585635359	 w=None	 C=1.0
Alltop10	 SVM 	0.7030386740331491	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.6850828729281768	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6892265193370166	 w=None	 C=1.0
Alltrain_df3	 LR 	0.7085635359116023	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.7071823204419889	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.6823204419889503	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.68646408839779	 w=None	 C=1.0
Alltop6	 LR 	0.7002762430939227	 w=None	 C=1.0
Alltop6	 SVM 	0.7002762430939227	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6906077348066298	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.6850828729281768	 w=None	 C=1.0
Alltop10	 LR 	0.6933701657458563	 w=None	 C=1.0
Alltop10	 SVM 	0.7058011049723757	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.68646408839779	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6850828729281768	 w=None	 C=1.0
Alltrain_df3	 LR 	0.7085635359116023	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.7113259668508287	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.6795580110497238	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6837016574585635	 w=None	 C=1.0
Alltop6	 LR 	0.7085635359116023	 w=None	 C=1.0
Alltop6	 SVM 	0.7016574585635359	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6878453038674033	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.680939226519337	 w=None	 C=1.0
Alltop10	 LR 	0.6947513812154696	 w=None	 C=1.0
Alltop10	 SVM 	0.7058011049723757	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.6850828729281768	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6837016574585635	 w=None	 C=1.0
Alltrain_df3	 LR 	0.6975138121546961	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.7058011049723757	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.680939226519337	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.680939226519337	 w=None	 C=1.0
Alltop6	 LR 	0.6975138121546961	 w=None	 C=1.0
Alltop6	 SVM 	0.6961325966850829	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.68646408839779	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.6850828729281768	 w=None	 C=1.0
Alltop10	 LR 	0.6947513812154696	 w=None	 C=1.0
Alltop10	 SVM 	0.7030386740331491	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.6850828729281768	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6850828729281768	 w=None	 C=1.0
Alltrain_df3	 LR 	0.7016574585635359	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.6988950276243094	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.6781767955801105	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6878453038674033	 w=None	 C=1.0
Alltop6	 LR 	0.7058011049723757	 w=None	 C=1.0
Alltop6	 SVM 	0.7002762430939227	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6892265193370166	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.6837016574585635	 w=None	 C=1.0
Alltop10	 LR 	0.7002762430939227	 w=None	 C=1.0
Alltop10	 SVM 	0.7044198895027625	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.6850828729281768	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6850828729281768	 w=None	 C=1.0
Alltrain_df3	 LR 	0.6906077348066298	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.6933701657458563	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.680939226519337	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6878453038674033	 w=None	 C=1.0
Alltop6	 LR 	0.6892265193370166	 w=None	 C=1.0
Alltop6	 SVM 	0.6906077348066298	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.680939226519337	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.6850828729281768	 w=None	 C=1.0
Alltop10	 LR 	0.6919889502762431	 w=None	 C=1.0
Alltop10	 SVM 	0.6781767955801105	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.6850828729281768	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6878453038674033	 w=None	 C=1.0
Alltrain_df3	 LR 	0.6919889502762431	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.6629834254143646	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.680939226519337	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6878453038674033	 w=None	 C=1.0
Alltop6	 LR 	0.6933701657458563	 w=None	 C=1.0
Alltop6	 SVM 	0.6975138121546961	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6823204419889503	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.68646408839779	 w=None	 C=1.0
Alltop10	 LR 	0.68646408839779	 w=None	 C=1.0
Alltop10	 SVM 	0.6906077348066298	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.68646408839779	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6850828729281768	 w=None	 C=1.0
Alltrain_df3	 LR 	0.7071823204419889	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.6795580110497238	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.6795580110497238	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6823204419889503	 w=None	 C=1.0
Alltop6	 LR 	0.7002762430939227	 w=None	 C=1.0
Alltop6	 SVM 	0.6961325966850829	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6892265193370166	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.6837016574585635	 w=None	 C=1.0
Alltop10	 LR 	0.6933701657458563	 w=None	 C=1.0
Alltop10	 SVM 	0.7085635359116023	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.68646408839779	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6906077348066298	 w=None	 C=1.0
Alltrain_df3	 LR 	0.6947513812154696	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.6781767955801105	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.6767955801104972	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.68646408839779	 w=None	 C=1.0
Alltop6	 LR 	0.7016574585635359	 w=None	 C=1.0
Alltop6	 SVM 	0.7002762430939227	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6906077348066298	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.68646408839779	 w=None	 C=1.0
Alltop10	 LR 	0.6961325966850829	 w=None	 C=1.0
Alltop10	 SVM 	0.6961325966850829	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.6850828729281768	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6878453038674033	 w=None	 C=1.0
Alltrain_df3	 LR 	0.7030386740331491	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.6988950276243094	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.680939226519337	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6850828729281768	 w=None	 C=1.0
Alltop6	 LR 	0.6988950276243094	 w=None	 C=1.0
Alltop6	 SVM 	0.7002762430939227	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.68646408839779	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.6837016574585635	 w=None	 C=1.0
Alltop10	 LR 	0.6892265193370166	 w=None	 C=1.0
Alltop10	 SVM 	0.6975138121546961	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.6837016574585635	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6878453038674033	 w=None	 C=1.0
Alltrain_df3	 LR 	0.7016574585635359	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.68646408839779	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.680939226519337	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6837016574585635	 w=None	 C=1.0
Alltop6	 LR 	0.6961325966850829	 w=None	 C=1.0
Alltop6	 SVM 	0.6988950276243094	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6878453038674033	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.6837016574585635	 w=None	 C=1.0
Alltop10	 LR 	0.6975138121546961	 w=None	 C=1.0
Alltop10	 SVM 	0.7071823204419889	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.6850828729281768	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.6892265193370166	 w=None	 C=1.0
Alltrain_df3	 LR 	0.6823204419889503	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.6919889502762431	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.6795580110497238	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6878453038674033	 w=None	 C=1.0
Alltop6	 LR 	0.6933701657458563	 w=None	 C=1.0
Alltop6	 SVM 	0.6988950276243094	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6892265193370166	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.68646408839779	 w=None	 C=1.0
Alltop10	 LR 	0.6975138121546961	 w=None	 C=1.0
Alltop10	 SVM 	0.7044198895027625	 w=None	 C=1.0
Alltop10_no_outliers	 LR 	0.6837016574585635	 w=None	 C=1.0
Alltop10_no_outliers	 SVM 	0.68646408839779	 w=None	 C=1.0
Alltrain_df3	 LR 	0.680939226519337	 w=None	 C=1.0
Alltrain_df3	 SVM 	0.6878453038674033	 w=None	 C=1.0
Alltrain_df3_removed	 LR 	0.6795580110497238	 w=None	 C=1.0
Alltrain_df3_removed	 SVM 	0.6878453038674033	 w=None	 C=1.0
Alltop6	 LR 	0.6988950276243094	 w=None	 C=1.0
Alltop6	 SVM 	0.6947513812154696	 w=None	 C=1.0
Alltop6_no_outliers	 LR 	0.6892265193370166	 w=None	 C=1.0
Alltop6_no_outliers	 SVM 	0.6837016574585635	 w=None	 C=1.0
Alltop10	 LR 	0.6961325966850829	 w=None	 C=1.0
